dateTime,passengersNumber,line,lineType
2021-04-04,5397.0,5,daily
2021-05-04,8547.0,5,daily
2021-07-13,8136.0,5,daily
2021-08-13,7894.0,5,daily
2021-10-06,9492.0,5,daily
2021-11-04,9858.0,5,daily
2021-12-23,9181.0,5,daily
2022-04-20,7664.0,5,daily
2022-04-22,8519.0,5,daily
2021-12-14,9609.0,5,daily
2022-01-22,6915.0,5,daily
2022-03-30,9716.0,5,daily
2022-05-11,9621.0,5,daily
2022-06-21,9477.0,5,daily
2022-07-30,6743.0,5,daily
2022-09-10,8749.0,5,daily
2022-10-18,10405.0,5,daily
2022-11-24,10503.0,5,daily
2023-01-05,11023.0,5,daily
2022-03-23,10013.0,5,daily
2022-05-06,10084.0,5,daily
2022-06-13,9541.0,5,daily
2022-10-03,10565.0,5,daily
2022-12-04,6453.0,5,daily
2023-02-03,11103.0,5,daily
2021-04-23,8896.0,5,daily
2021-06-18,9109.0,5,daily
2021-06-20,5168.0,5,daily
2021-06-28,7882.0,5,daily
2021-08-18,7394.0,5,daily
2021-08-28,7735.0,5,daily
2021-09-02,8569.0,5,daily
2021-09-05,6680.0,5,daily
2022-09-19,10134.0,5,daily
2022-10-25,10350.0,5,daily
2022-12-07,10711.0,5,daily
2023-02-18,11407.0,5,daily
2021-04-02,5324.0,5,daily
2021-06-27,3811.0,5,daily
2021-08-08,6316.0,5,daily
2021-11-30,9700.0,5,daily
2021-12-28,8205.0,5,daily
2022-01-14,9338.0,5,daily
2022-12-11,4921.0,5,daily
2023-01-21,7976.0,5,daily
2021-04-03,6581.0,5,daily
2021-05-25,8820.0,5,daily
2021-07-07,8316.0,5,daily
2021-09-16,9395.0,5,daily
2021-11-19,9906.0,5,daily
2021-10-28,9811.0,5,daily
2021-12-07,8072.0,5,daily
2021-10-04,9344.0,5,daily
2021-11-29,9295.0,5,daily
2021-05-05,8572.0,5,daily
2021-05-06,8773.0,5,daily
2021-08-20,8546.0,5,daily
2021-10-20,9823.0,5,daily
2023-01-25,10420.0,5,daily
2021-04-08,7975.0,5,daily
2021-05-10,8526.0,5,daily
2021-07-19,9535.0,5,daily
2021-09-17,10014.0,5,daily
2021-10-14,9627.0,5,daily
2021-11-18,9568.0,5,daily
2022-01-23,4537.0,5,daily
2022-03-09,9936.0,5,daily
2022-05-17,10187.0,5,daily
2022-05-31,9832.0,5,daily
2021-09-24,9458.0,5,daily
2021-11-14,3921.0,5,daily
2021-12-30,8689.0,5,daily
2022-03-11,10001.0,5,daily
2022-04-15,5462.0,5,daily
2022-05-24,9359.0,5,daily
2022-07-24,7344.0,5,daily
2022-08-10,9397.0,5,daily
2022-10-08,8072.0,5,daily
2022-11-05,8818.0,5,daily
2022-12-16,11156.0,5,daily
2022-03-08,9674.0,5,daily
2022-04-09,7850.0,5,daily
2022-05-19,9755.0,5,daily
2022-09-07,9638.0,5,daily
2022-11-03,10318.0,5,daily
2023-01-08,4432.0,5,daily
2021-04-09,7511.0,5,daily
2021-05-11,8409.0,5,daily
2021-05-27,9029.0,5,daily
2021-07-04,5164.0,5,daily
2021-09-04,7921.0,5,daily
2022-09-02,9111.0,5,daily
2022-09-29,9952.0,5,daily
2022-11-01,5929.0,5,daily
2022-12-09,10146.0,5,daily
2023-02-21,10443.0,5,daily
2023-02-24,11170.0,5,daily
2021-04-05,5255.0,5,daily
2021-06-30,8630.0,5,daily
2021-08-29,5727.0,5,daily
2021-12-02,9637.0,5,daily
2022-01-15,7169.0,5,daily
2022-12-15,10866.0,5,daily
2023-02-01,10588.0,5,daily
2021-04-12,8413.0,5,daily
2021-06-02,9114.0,5,daily
2021-07-23,7870.0,5,daily
2021-09-26,5510.0,5,daily
2021-10-15,9805.0,5,daily
2021-11-20,7703.0,5,daily
2021-12-13,9930.0,5,daily
2021-12-24,6832.0,5,daily
2022-01-02,5057.0,5,daily
2022-01-11,9106.0,5,daily
2022-01-28,9249.0,5,daily
2022-02-01,9203.0,5,daily
2022-02-03,9258.0,5,daily
2022-02-09,9712.0,5,daily
2022-02-17,9512.0,5,daily
2022-02-20,4385.0,5,daily
2022-03-10,9907.0,5,daily
2022-03-12,8949.0,5,daily
2022-03-25,10324.0,5,daily
2022-03-26,8611.0,5,daily
2022-03-31,10031.0,5,daily
2022-04-06,9737.0,5,daily
2022-04-10,6999.0,5,daily
2022-04-12,8801.0,5,daily
2022-04-13,8317.0,5,daily
2022-04-23,7032.0,5,daily
2022-05-10,9985.0,5,daily
2022-05-28,9814.0,5,daily
2022-06-05,5846.0,5,daily
2022-06-19,6735.0,5,daily
2022-06-22,8765.0,5,daily
2022-07-12,10698.0,5,daily
2022-07-31,6087.0,5,daily
2022-08-12,9020.0,5,daily
2022-08-16,10210.0,5,daily
2022-09-01,9336.0,5,daily
2021-07-05,9958.0,5,daily
2021-07-08,8572.0,5,daily
2021-07-09,9493.0,5,daily
2021-07-10,7927.0,5,daily
2021-07-12,8132.0,5,daily
2021-07-20,9364.0,5,daily
2021-07-27,8374.0,5,daily
2021-08-09,8505.0,5,daily
2021-08-17,7031.0,5,daily
2021-08-24,8399.0,5,daily
2021-08-25,7985.0,5,daily
2021-08-26,8812.0,5,daily
2021-09-01,8045.0,5,daily
2021-09-03,8279.0,5,daily
2021-09-12,6170.0,5,daily
2021-09-13,9218.0,5,daily
2021-09-25,7670.0,5,daily
2021-09-29,9251.0,5,daily
2021-11-10,9637.0,5,daily
2022-01-04,7737.0,5,daily
2022-01-27,9080.0,5,daily
2022-02-16,9455.0,5,daily
2022-02-24,9826.0,5,daily
2022-04-11,8580.0,5,daily
2022-05-21,8491.0,5,daily
2022-06-24,9448.0,5,daily
2022-08-07,6824.0,5,daily
2022-09-26,9793.0,5,daily
