"dateTime","weather","lineNumber","passengersNumber"
"2019-04-15",25,18,1775
"2019-04-15",25,17,6598
"2019-04-15",25,46,169
"2019-04-15",25,45,1590
"2019-04-15",25,21,1563
"2019-04-15",25,16,1514
"2019-04-15",25,9,3222
"2019-04-15",25,25,3131
"2019-04-15",25,40,1988
"2019-04-15",25,5,9050
"2019-04-15",25,8,2192
"2019-04-15",25,31,2441
"2019-04-15",25,29,2658
"2019-04-15",25,41,947
"2019-04-15",25,26,4780
"2019-04-15",25,24,2548
"2019-04-15",25,36,1350
"2019-04-15",25,37,913
"2019-04-15",25,38,340
"2019-04-15",25,13,9265
"2019-04-15",25,28,11869
"2019-04-15",25,43,304
"2019-04-15",25,42,383
"2019-04-15",25,27,2432
"2019-04-16",13,14,3658
"2019-04-16",13,40,1841
"2019-04-16",13,41,841
"2019-04-16",13,13,9675
"2019-04-16",13,38,283
"2019-04-16",13,26,4712
"2019-04-16",13,37,830
"2019-04-16",13,42,375
"2019-04-16",13,16,1655
"2019-04-16",13,9,3260
"2019-04-16",13,27,2403
"2019-04-16",13,8,2336
"2019-04-16",13,25,3377
"2019-04-16",13,18,2001
"2019-04-16",13,19,1719
"2019-04-16",13,21,1599
"2019-04-16",13,6,56
"2019-04-16",13,17,6226
"2019-04-16",13,23,823
"2019-04-16",13,31,2457
"2019-04-16",13,32,720
"2019-04-16",13,29,2881
"2019-04-16",13,28,11852
"2019-04-16",13,36,1345
"2019-04-16",13,35,613
"2019-04-16",13,5,9056
"2019-04-16",13,24,2332
"2019-04-16",13,33,4207
"2019-04-16",13,46,183
"2019-04-16",13,45,1511
"2019-04-16",13,43,316
"2019-04-17",17,40,1780
"2019-04-17",17,42,386
"2019-04-17",17,28,11743
"2019-04-17",17,27,2223
"2019-04-17",17,41,819
"2019-04-17",17,14,3499
"2019-04-17",17,16,1540
"2019-04-17",17,103,53
"2019-04-17",17,43,264
"2019-04-17",17,26,4672
"2019-04-17",17,38,323
"2019-04-17",17,13,9412
"2019-04-17",17,33,3995
"2019-04-17",17,104,76
"2019-04-17",17,31,2379
"2019-04-17",17,32,691
"2019-04-17",17,25,3470
"2019-04-17",17,45,1765
"2019-04-17",17,35,570
"2019-04-17",17,29,2714
"2019-04-17",17,36,1307
"2019-04-17",17,37,885
"2019-04-17",17,110,64
"2019-04-17",17,17,6064
"2019-04-17",17,9,3107
"2019-04-17",17,24,2132
"2019-04-17",17,8,2126
"2019-04-17",17,102,37
"2019-04-17",17,109,21
"2019-04-17",17,18,1880
"2019-04-17",17,108,19
"2019-04-17",17,6,68
"2019-04-17",17,46,176
"2019-04-17",17,101,73
"2019-04-17",17,23,683
"2019-04-17",17,5,9134
"2019-04-17",17,106,68
"2019-04-17",17,19,1758
"2019-04-17",17,21,1561
"2019-04-18",25,24,267
"2019-04-18",25,110,88
"2019-04-18",25,28,6229
"2019-04-18",25,25,1949
"2019-04-18",25,18,992
"2019-04-18",25,23,223
"2019-04-18",25,38,162
"2019-04-18",25,41,328
"2019-04-18",25,35,108
"2019-04-18",25,42,300
"2019-04-18",25,108,41
"2019-04-18",25,19,1060
"2019-04-18",25,17,2078
"2019-04-18",25,29,1435
"2019-04-18",25,45,799
"2019-04-18",25,21,771
"2019-04-18",25,37,303
"2019-04-18",25,32,263
"2019-04-18",25,33,1468
"2019-04-18",25,27,266
"2019-04-18",25,26,2454
"2019-04-18",25,109,44
"2019-04-18",25,101,73
"2019-04-18",25,31,677
"2019-04-18",25,36,417
"2019-04-18",25,5,4243
"2019-04-18",25,106,62
"2019-04-18",25,102,28
"2019-04-18",25,104,103
"2019-04-18",25,14,1538
"2019-04-18",25,9,1949
"2019-04-18",25,6,47
"2019-04-18",25,46,122
"2019-04-18",25,16,1483
"2019-04-18",25,103,37
"2019-04-18",25,8,1094
"2019-04-18",25,13,5960
"2019-04-19",43,31,667
"2019-04-19",43,28,6484
"2019-04-19",43,29,1482
"2019-04-19",43,33,1620
"2019-04-19",43,41,282
"2019-04-19",43,38,155
"2019-04-19",43,32,284
"2019-04-19",43,109,39
"2019-04-19",43,5,4396
"2019-04-19",43,37,277
"2019-04-19",43,110,115
"2019-04-19",43,27,252
"2019-04-19",43,25,1901
"2019-04-19",43,45,823
"2019-04-19",43,36,512
"2019-04-19",43,26,2710
"2019-04-19",43,42,313
"2019-04-19",43,24,297
"2019-04-19",43,108,48
"2019-04-19",43,35,132
"2019-04-19",43,102,35
"2019-04-19",43,101,81
"2019-04-19",43,6,17
"2019-04-19",43,106,91
"2019-04-19",43,104,119
"2019-04-19",43,23,249
"2019-04-19",43,103,81
"2019-04-19",43,14,1655
"2019-04-19",43,46,118
"2019-04-19",43,16,2441
"2019-04-19",43,17,2035
"2019-04-19",43,13,6280
"2019-04-19",43,21,885
"2019-04-19",43,19,1286
"2019-04-19",43,9,2062
"2019-04-19",43,8,1181
"2019-04-19",43,18,965
"2019-04-20",13,5,6841
"2019-04-20",13,6,36
"2019-04-20",13,106,237
"2019-04-20",13,25,2648
"2019-04-20",13,104,187
"2019-04-20",13,26,3755
"2019-04-20",13,38,185
"2019-04-20",13,41,455
"2019-04-20",13,103,215
"2019-04-20",13,37,634
"2019-04-20",13,23,470
"2019-04-20",13,24,1181
"2019-04-20",13,110,234
"2019-04-20",13,45,977
"2019-04-20",13,8,1660
"2019-04-20",13,36,783
"2019-04-20",13,101,183
"2019-04-20",13,102,82
"2019-04-20",13,46,140
"2019-04-20",13,13,7618
"2019-04-20",13,35,135
"2019-04-20",13,19,1347
"2019-04-20",13,42,390
"2019-04-20",13,33,2625
"2019-04-20",13,108,92
"2019-04-20",13,17,2440
"2019-04-20",13,21,1362
"2019-04-20",13,9,2427
"2019-04-20",13,32,439
"2019-04-20",13,29,2200
"2019-04-20",13,27,1115
